Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
218068|Gremlin Mine|NPH|Artifact|C|1|1||||1, T, Sacrifice Gremlin Mine: Gremlin Mine deals 4 damage to target artifact creature.  1, T, Sacrifice Gremlin Mine: Remove up to four charge counters from target noncreature artifact.
214389|Grim Affliction|NPH|Instant|C|2B|3||||Put a -1/-1 counter on target creature, then proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
230074|Gut Shot|NPH|Instant|U|PR|1||||(PR can be paid with either R or 2 life.)  Gut Shot deals 1 damage to target creature or player.
218008|Hex Parasite|NPH|Artifact Creature - Insect|R|1|1|1|1||XPB: Remove up to X counters from target permanent. For each counter removed this way, Hex Parasite gets +1/+0 until end of turn. (PB can be paid with either B or 2 life.)
227513|Hovermyr|NPH|Artifact Creature - Myr|C|2|2|1|2||Flying, vigilance
218066|Ichor Explosion|NPH|Sorcery|U|5BB|7||||As an additional cost to cast Ichor Explosion, sacrifice a creature.  All creatures get -X/-X until end of turn, where X is the sacrificed creature's power.
233058|Immolating Souleater|NPH|Artifact Creature - Hound|C|2|2|1|1||PR: Immolating Souleater gets +1/+0 until end of turn. (PR can be paid with either R or 2 life.)
217988|Impaler Shrike|NPH|Creature - Bird|C|2UU|4|3|1||Flying  Whenever Impaler Shrike deals combat damage to a player, you may sacrifice it. If you do, draw three cards.
218070|Inquisitor Exarch|NPH|Creature - Cleric|U|WW|2|2|2||When Inquisitor Exarch enters the battlefield, choose one -  - You gain 2 life.  - Target opponent loses 2 life.
233066|Insatiable Souleater|NPH|Artifact Creature - Beast|C|4|4|5|1||PG: Insatiable Souleater gains trample until end of turn. (PG can be paid with either G or 2 life.)
233067|Invader Parasite|NPH|Creature - Insect|R|3RR|5|3|2||Imprint - When Invader Parasite enters the battlefield, exile target land.  Whenever a land with the same name as the exiled card enters the battlefield under an opponent's control, Invader Parasite deals 2 damage to that player.
227530|Island|NPH|Basic Land - Island|C||0||||U
218057|Isolation Cell|NPH|Artifact|U|4|4||||Whenever an opponent casts a creature spell, that player loses 2 life unless he or she pays 2.
214349|Jin-Gitaxias, Core Augur|NPH|Legendary Creature - Praetor|M|8UU|10|5|4||Flash  At the beginning of your end step, draw seven cards.  Each opponent's maximum hand size is reduced by seven.
227508|Jor Kadeen, the Prevailer|NPH|Legendary Creature - Human Warrior|R|3RW|5|5|4||First strike  Metalcraft - Creatures you control get +3/+0 as long as you control three or more artifacts.
214350|Karn Liberated|NPH|Planeswalker - Karn|M|7|7|||6|+4: Target player exiles a card from his or her hand.  -3: Exile target permanent.  -14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.
214380|Kiln Walker|NPH|Artifact Creature - Construct|U|3|3|0|3||Whenever Kiln Walker attacks, it gets +3/+0 until end of turn.
214359|Lashwrithe|NPH|Artifact - Equipment|R|4|4||||Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)  Equipped creature gets +1/+1 for each Swamp you control.  Equip PBPB (PB can be paid with either B or 2 life.)
218028|Leeching Bite|NPH|Instant|C|1G|2||||Target creature gets +1/+1 until end of turn. Another target creature gets -1/-1 until end of turn.
214362|Life's Finale|NPH|Sorcery|R|4BB|6||||Destroy all creatures, then search target opponent's library for up to three creature cards and put them into his or her graveyard. Then that player shuffles his or her library.
218053|Lost Leonin|NPH|Creature - Cat Soldier|C|1W|2|2|1||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
218013|Loxodon Convert|NPH|Creature - Elephant Soldier|C|3W|4|4|2||
230072|Marrow Shards|NPH|Instant|U|PW|1||||(PW can be paid with either W or 2 life.)  Marrow Shards deals 1 damage to each attacking creature.
233062|Master Splicer|NPH|Creature - Human Artificer|U|3W|4|1|1||When Master Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.  Golem creatures you control get +1/+1.
233040|Maul Splicer|NPH|Creature - Human Artificer|C|6G|7|1|1||When Maul Splicer enters the battlefield, create two 3/3 colorless Golem artifact creature tokens.  Golem creatures you control have trample.
194274|Melira, Sylvok Outcast|NPH|Legendary Creature - Human Scout|R|1G|2|2|2||You can't get poison counters.  Creatures you control can't have -1/-1 counters put on them.  Creatures your opponents control lose infect.
230066|Mental Misstep|NPH|Instant|U|PU|1||||(PU can be paid with either U or 2 life.)  Counter target spell with converted mana cost 1.
233078|Mindcrank|NPH|Artifact|U|2|2||||Whenever an opponent loses life, that player puts that many cards from the top of his or her library into his or her graveyard. (Damage dealt by sources without infect causes loss of life.)
218085|Mindculling|NPH|Sorcery|U|5U|6||||You draw two cards and target opponent discards two cards.
233051|Moltensteel Dragon|NPH|Artifact Creature - Dragon|R|4PRPR|6|4|4||(PR can be paid with either R or 2 life.)  Flying  PR: Moltensteel Dragon gets +1/+0 until end of turn.
233072|Mortis Dogs|NPH|Creature - Hound|C|3B|4|2|2||Whenever Mortis Dogs attacks, it gets +2/+0 until end of turn.  When Mortis Dogs dies, target player loses life equal to its power.
227507|Mountain|NPH|Basic Land - Mountain|C||0||||R
233070|Mutagenic Growth|NPH|Instant|C|PG|1||||(PG can be paid with either G or 2 life.)  Target creature gets +2/+2 until end of turn.
217995|Mycosynth Fiend|NPH|Creature - Horror|U|2G|3|2|2||Mycosynth Fiend gets +1/+1 for each poison counter your opponents have.
218039|Mycosynth Wellspring|NPH|Artifact|C|2|2||||When Mycosynth Wellspring enters the battlefield or is put into a graveyard from the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.
194275|Myr Superion|NPH|Artifact Creature - Myr|R|2|2|5|6||Spend only mana produced by creatures to cast Myr Superion.
214367|Necropouncer|NPH|Artifact - Equipment|U|6|6||||Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)  Equipped creature gets +3/+1 and has haste.  Equip 2
233050|Norn's Annex|NPH|Artifact|R|3PWPW|5||||(PW can be paid with either W or 2 life.)  Creatures can't attack you or a planeswalker you control unless their controller pays PW for each of those creatures.
230067|Noxious Revival|NPH|Instant|U|PG|1||||(PG can be paid with either G or 2 life.)  Put target card from a graveyard on top of its owner's library.
218040|Numbing Dose|NPH|Enchantment - Aura|C|3UU|5||||Enchant artifact or creature  Enchanted permanent doesn't untap during its controller's untap step.  At the beginning of the upkeep of enchanted permanent's controller, that player loses 1 life.
233082|Ogre Menial|NPH|Creature - Ogre|C|3R|4|0|4||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  R: Ogre Menial gets +1/+0 until end of turn.
233042|Omen Machine|NPH|Artifact|R|6|6||||Players can't draw cards.  At the beginning of each player's draw step, that player exiles the top card of his or her library. If it's a land card, the player puts it onto the battlefield. Otherwise, the player casts it without paying its mana cost if able.
194216|Parasitic Implant|NPH|Enchantment - Aura|C|3B|4||||Enchant creature  At the beginning of your upkeep, enchanted creature's controller sacrifices it and you create a 1/1 colorless Myr artifact creature token.
233085|Pestilent Souleater|NPH|Artifact Creature - Insect|C|5|5|3|3||PB: Pestilent Souleater gains infect until end of turn. (PB can be paid with either B or 2 life. A creature with infect deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
214379|Phyrexian Hulk|NPH|Artifact Creature - Golem|C|6|6|5|4||
214384|Phyrexian Ingester|NPH|Creature - Beast|R|6U|7|3|3||Imprint - When Phyrexian Ingester enters the battlefield, you may exile target nontoken creature.  Phyrexian Ingester gets +X/+Y, where X is the exiled creature card's power and Y is its toughness.
214375|Phyrexian Metamorph|NPH|Artifact Creature - Shapeshifter|R|3PU|4|0|0||(PU can be paid with either U or 2 life.)  You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.
214386|Phyrexian Obliterator|NPH|Creature - Horror|M|BBBB|4|5|5||Trample  Whenever a source deals damage to Phyrexian Obliterator, that source's controller sacrifices that many permanents.
218086|Phyrexian Swarmlord|NPH|Creature - Insect Horror|R|4GG|6|4|4||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  At the beginning of your upkeep, create a 1/1 green Insect creature token with infect for each poison counter your opponents have.
218058|Phyrexian Unlife|NPH|Enchantment|R|2W|3||||You don't lose the game for having 0 or less life.  As long as you have 0 or less life, all damage is dealt to you as though its source had infect. (Damage is dealt to you in the form of poison counters.)
218015|Phyrexia's Core|NPH|Land|U||0||||T: Add C to your mana pool.  1, T, Sacrifice an artifact: You gain 1 life.
230079|Pith Driller|NPH|Artifact Creature - Horror|C|4PB|5|2|4||(PB can be paid with either B or 2 life.)  When Pith Driller enters the battlefield, put a -1/-1 counter on target creature.
227552|Plains|NPH|Basic Land - Plains|C||0||||W
218043|Porcelain Legionnaire|NPH|Artifact Creature - Soldier|C|2PW|3|3|1||(PW can be paid with either W or 2 life.)  First strike
233054|Postmortem Lunge|NPH|Sorcery|U|XPB|1||||(PB can be paid with either B or 2 life.)  Return target creature card with converted mana cost X from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step.
218050|Praetor's Grasp|NPH|Sorcery|R|1BB|3||||Search target opponent's library for a card and exile it face down. Then that player shuffles his or her library. You may look at and play that card for as long as it remains exiled.
218037|Priest of Urabrask|NPH|Creature - Human Cleric|U|2R|3|2|1||When Priest of Urabrask enters the battlefield, add RRR to your mana pool.
233074|Pristine Talisman|NPH|Artifact|C|3|3||||T: Add C to your mana pool. You gain 1 life.
218016|Psychic Barrier|NPH|Instant|C|UU|2||||Counter target creature spell. Its controller loses 1 life.
214347|Psychic Surgery|NPH|Enchantment|R|1U|2||||Whenever an opponent shuffles his or her library, you may look at the top two cards of that library. You may exile one of those cards. Then put the rest on top of that library in any order.
227504|Puresteel Paladin|NPH|Creature - Human Knight|R|WW|2|2|2||Whenever an Equipment enters the battlefield under your control, you may draw a card.  Metalcraft - Equipment you control have equip 0 as long as you control three or more artifacts.
214385|Rage Extractor|NPH|Artifact|U|4PR|5||||(PR can be paid with either R or 2 life.)  Whenever you cast a spell with P in its mana cost, Rage Extractor deals damage equal to that spell's converted mana cost to target creature or player.
218022|Razor Swine|NPH|Creature - Boar|C|2R|3|2|1||First strike  Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
214374|Reaper of Sheoldred|NPH|Creature - Horror|U|4B|5|2|5||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  Whenever a source deals damage to Reaper of Sheoldred, that source's controller gets a poison counter.
218078|Remember the Fallen|NPH|Sorcery|C|2W|3||||Choose one or both -  - Return target creature card from your graveyard to your hand.  - Return target artifact card from your graveyard to your hand.
233064|Rotted Hystrix|NPH|Creature - Beast|C|4G|5|3|6||
227528|Ruthless Invasion|NPH|Sorcery|C|3PR|4||||(PR can be paid with either R or 2 life.)  Nonartifact creatures can't block this turn.
218019|Scrapyard Salvo|NPH|Sorcery|C|1RR|3||||Scrapyard Salvo deals damage to target player equal to the number of artifact cards in your graveyard.
233038|Sensor Splicer|NPH|Creature - Artificer|C|4W|5|1|1||When Sensor Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.  Golem creatures you control have vigilance.
233059|Shattered Angel|NPH|Creature - Angel|U|3WW|5|3|3||Flying  Whenever a land enters the battlefield under an opponent's control, you may gain 3 life.
214382|Sheoldred, Whispering One|NPH|Legendary Creature - Praetor|M|5BB|7|6|6||Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)  At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.  At the beginning of each opponent's upkeep, that player sacrifices a creature.
217994|Shriek Raptor|NPH|Creature - Bird|C|3WW|5|2|3||Flying  Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
217982|Shrine of Boundless Growth|NPH|Artifact|U|3|3||||At the beginning of your upkeep or whenever you cast a green spell, put a charge counter on Shrine of Boundless Growth.  T, Sacrifice Shrine of Boundless Growth: Add C to your mana pool for each charge counter on Shrine of Boundless Growth.
218018|Shrine of Burning Rage|NPH|Artifact|U|2|2||||At the beginning of your upkeep or whenever you cast a red spell, put a charge counter on Shrine of Burning Rage.  3, T, Sacrifice Shrine of Burning Rage: Shrine of Burning Rage deals damage equal to the number of charge counters on it to target creature or player.
217980|Shrine of Limitless Power|NPH|Artifact|U|3|3||||At the beginning of your upkeep or whenever you cast a black spell, put a charge counter on Shrine of Limitless Power.  4, T, Sacrifice Shrine of Limitless Power: Target player discards a card for each charge counter on Shrine of Limitless Power.
206347|Shrine of Loyal Legions|NPH|Artifact|U|2|2||||At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.  3, T, Sacrifice Shrine of Loyal Legions: Create a 1/1 colorless Myr artifact creature token for each charge counter on Shrine of Loyal Legions.
194318|Shrine of Piercing Vision|NPH|Artifact|U|2|2||||At the beginning of your upkeep or whenever you cast a blue spell, put a charge counter on Shrine of Piercing Vision.  T, Sacrifice Shrine of Piercing Vision: Look at the top X cards of your library, where X is the number of charge counters on Shrine of Piercing Vision. Put one of those cards into your hand and the rest on the bottom of your library in any order.
214357|Sickleslicer|NPH|Artifact - Equipment|U|3|3||||Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)  Equipped creature gets +2/+2.  Equip 4
218010|Slag Fiend|NPH|Creature - Construct|R|R|1|*|*||Slag Fiend's power and toughness are each equal to the number of artifact cards in all graveyards.
230065|Slash Panther|NPH|Artifact Creature - Cat|C|4PR|5|4|2||(PR can be paid with either R or 2 life.)  Haste
233048|Soul Conduit|NPH|Artifact|R|6|6||||6, T: Two target players exchange life totals.
217992|Spellskite|NPH|Artifact Creature - Horror|R|2|2|0|4||PU: Change a target of target spell or ability to Spellskite. (PU can be paid with either U or 2 life.)
230068|Spinebiter|NPH|Creature - Beast|U|4GG|6|3|4||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  You may have Spinebiter assign its combat damage as though it weren't blocked.
217990|Spined Thopter|NPH|Artifact Creature - Thopter|C|2PU|3|2|1||(PU can be paid with either U or 2 life.)  Flying
233053|Spire Monitor|NPH|Creature - Drake|C|4U|5|3|3||Flash (You may cast this spell any time you could cast an instant.)  Flying
194070|Surge Node|NPH|Artifact|U|1|1||||Surge Node enters the battlefield with six charge counters on it.  1, T, Remove a charge counter from Surge Node: Put a charge counter on target artifact.
233041|Surgical Extraction|NPH|Instant|R|PB|1||||(PB can be paid with either B or 2 life.)  Choose target card in a graveyard other than a basic land card. Search its owner's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles his or her library.
217981|Suture Priest|NPH|Creature - Cleric|C|1W|2|1|1||Whenever another creature enters the battlefield under your control, you may gain 1 life.  Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.
227519|Swamp|NPH|Basic Land - Swamp|C||0||||B
214368|Sword of War and Peace|NPH|Artifact - Equipment|M|3|3||||Equipped creature gets +2/+2 and has protection from red and from white.  Whenever equipped creature deals combat damage to a player, Sword of War and Peace deals damage to that player equal to the number of cards in his or her hand and you gain 1 life for each card in your hand.  Equip 2
227547|Tezzeret's Gambit|NPH|Sorcery|U|3PU|4||||(PU can be paid with either U or 2 life.)  Draw two cards, then proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
218077|Thundering Tanadon|NPH|Artifact Creature - Beast|C|4PGPG|6|5|4||(PG can be paid with either G or 2 life.)  Trample
218082|Tormentor Exarch|NPH|Creature - Cleric|U|3R|4|2|2||When Tormentor Exarch enters the battlefield, choose one -  - Target creature gets +2/+0 until end of turn.  - Target creature gets -0/-2 until end of turn.
233069|Torpor Orb|NPH|Artifact|R|2|2||||Creatures entering the battlefield don't cause abilities to trigger.
233081|Toxic Nim|NPH|Creature - Zombie|C|4BB|6|4|1||Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  B: Regenerate Toxic Nim.
233073|Trespassing Souleater|NPH|Artifact Creature - Construct|C|3|3|2|2||PU: Trespassing Souleater can't be blocked this turn. (PU can be paid with either U or 2 life.)
218044|Triumph of the Hordes|NPH|Sorcery|U|2GG|4||||Until end of turn, creatures you control get +1/+1 and gain trample and infect. (Creatures with infect deal damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
218079|Unwinding Clock|NPH|Artifact|R|4|4||||Untap all artifacts you control during each other player's untap step.
214378|Urabrask the Hidden|NPH|Legendary Creature - Praetor|M|3RR|5|4|4||Creatures you control have haste.  Creatures your opponents control enter the battlefield tapped.
218017|Vapor Snag|NPH|Instant|C|U|1||||Return target creature to its owner's hand. Its controller loses 1 life.
217984|Vault Skirge|NPH|Artifact Creature - Imp|C|1PB|2|1|1||(PB can be paid with either B or 2 life.)  Flying  Lifelink (Damage dealt by this creature also causes you to gain that much life.)
227549|Victorious Destruction|NPH|Sorcery|C|4R|5||||Destroy target artifact or land. Its controller loses 1 life.
233047|Viral Drake|NPH|Creature - Drake|U|3U|4|1|4||Flying  Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  3U: Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
214390|Viridian Betrayers|NPH|Creature - Elf Warrior|C|1GG|3|3|1||Viridian Betrayers has infect as long as an opponent is poisoned. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
214388|Viridian Harvest|NPH|Enchantment - Aura|C|G|1||||Enchant artifact  When enchanted artifact is put into a graveyard, you gain 6 life.
233079|Vital Splicer|NPH|Creature - Human Artificer|U|3G|4|1|1||When Vital Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.  1: Regenerate target Golem you control.
214381|Volt Charge|NPH|Instant|C|2R|3||||Volt Charge deals 3 damage to target creature or player. Proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)
218002|Vorinclex, Voice of Hunger|NPH|Legendary Creature - Praetor|M|6GG|8|7|6||Trample  Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced.  Whenever an opponent taps a land for mana, that land doesn't untap during its controller's next untap step.
218038|Vulshok Refugee|NPH|Creature - Human Warrior|U|1RR|3|3|2||Protection from red
230078|War Report|NPH|Instant|C|3W|4||||You gain life equal to the number of creatures on the battlefield plus the number of artifacts on the battlefield.
194383|Whipflare|NPH|Sorcery|U|1R|2||||Whipflare deals 2 damage to each nonartifact creature.
218045|Whispering Specter|NPH|Creature - Specter|U|1BB|3|1|1||Flying  Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)  Whenever Whispering Specter deals combat damage to a player, you may sacrifice it. If you do, that player discards a card for each poison counter he or she has.
233037|Wing Splicer|NPH|Creature - Human Artificer|U|3U|4|1|1||When Wing Splicer enters the battlefield, create a 3/3 colorless Golem artifact creature token.  Golem creatures you control have flying.
227544|Xenograft|NPH|Enchantment|R|4U|5||||As Xenograft enters the battlefield, choose a creature type.  Each creature you control is the chosen type in addition to its other types.
230071|Forest|NPH|Basic Land - Forest|C||0||||G
227505|Island|NPH|Basic Land - Island|C||0||||U
230064|Mountain|NPH|Basic Land - Mountain|C||0||||R
227518|Plains|NPH|Basic Land - Plains|C||0||||W
227521|Swamp|NPH|Basic Land - Swamp|C||0||||B
31761|Abandoned Outpost|OD|Land|C||0||||Abandoned Outpost enters the battlefield tapped.  T: Add W to your mana pool.  T, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.
31821|Aboshan, Cephalid Emperor|OD|Legendary Creature - Cephalid|R|4UU|6|3|3||Tap an untapped Cephalid you control: Tap target permanent.  UUU: Tap all creatures without flying.
29728|Aboshan's Desire|OD|Enchantment - Aura|C|U|1||||Enchant creature  Enchanted creature has flying.  Threshold - Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)
30692|Acceptable Losses|OD|Sorcery|C|3R|4||||As an additional cost to cast Acceptable Losses, discard a card at random.  Acceptable Losses deals 5 damage to target creature.
29922|Aegis of Honor|OD|Enchantment|R|W|1||||1: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.
29725|Aether Burst|OD|Instant|C|1U|2||||Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast Aether Burst.
29740|Afflict|OD|Instant|C|2B|3||||Target creature gets -1/-1 until end of turn.  Draw a card.
29929|Amugaba|OD|Creature - Illusion|R|5UU|7|6|6||Flying  2U, Discard a card: Return Amugaba to its owner's hand.
29758|Anarchist|OD|Creature - Human Wizard|C|4R|5|2|2||When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.
30555|Ancestral Tribute|OD|Sorcery|R|5WW|7||||You gain 2 life for each card in your graveyard.  Flashback 9WWW (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29699|Angelic Wall|OD|Creature - Wall|C|1W|2|0|4||Defender (This creature can't attack.)  Flying
31839|Animal Boneyard|OD|Enchantment - Aura|U|2W|3||||"Enchant land  Enchanted land has ""T, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness."""
29965|Ashen Firebeast|OD|Creature - Elemental Beast|R|6RR|8|6|6||1R: Ashen Firebeast deals 1 damage to each creature without flying.
31834|Atogatog|OD|Legendary Creature - Atog|R|WUBRG|5|5|5||Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power.
29938|Aura Graft|OD|Instant|U|1U|2||||Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.
29700|Auramancer|OD|Creature - Human Wizard|C|2W|3|2|2||When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.
29691|Aven Archer|OD|Creature - Bird Soldier Archer|U|3WW|5|2|2||Flying  2W, T: Aven Archer deals 2 damage to target attacking or blocking creature.
29694|Aven Cloudchaser|OD|Creature - Bird Soldier|C|3W|4|2|2||Flying (This creature can't be blocked except by creatures with flying or reach.)  When Aven Cloudchaser enters the battlefield, destroy target enchantment.
31815|Aven Fisher|OD|Creature - Bird Soldier|C|3U|4|2|2||Flying (This creature can't be blocked except by creatures with flying or reach.)  When Aven Fisher dies, you may draw a card.
31767|Aven Flock|OD|Creature - Bird Soldier|C|4W|5|2|3||Flying (This creature can't be blocked except by creatures with flying or reach.)  W: Aven Flock gets +0/+1 until end of turn.
29923|Aven Shrine|OD|Enchantment|R|1WW|3||||Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.
29709|Aven Smokeweaver|OD|Creature - Bird Soldier|U|2UU|4|2|3||Flying, protection from red
29716|Aven Windreader|OD|Creature - Bird Soldier Wizard|C|3UU|5|3|3||Flying (This creature can't be blocked except by creatures with flying or reach.)  1U: Target player reveals the top card of his or her library.
31819|Balancing Act|OD|Sorcery|R|2WW|4||||Each player chooses a number of permanents he or she controls equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.
29738|Balshan Beguiler|OD|Creature - Human Wizard|U|2U|3|1|1||Whenever Balshan Beguiler deals combat damage to a player, that player reveals the top two cards of his or her library. You choose one of those cards and put it into his or her graveyard.
29820|Balshan Griffin|OD|Creature - Griffin|U|3UU|5|3|2||Flying  1U, Discard a card: Return Balshan Griffin to its owner's hand.
29747|Bamboozle|OD|Sorcery|U|2U|3||||Target player reveals the top four cards of his or her library. You choose two of those cards and put them into his or her graveyard. Put the rest on top of his or her library in any order.
29757|Barbarian Lunatic|OD|Creature - Human Barbarian|C|2R|3|2|1||2R, Sacrifice Barbarian Lunatic: Barbarian Lunatic deals 2 damage to target creature.
29906|Barbarian Ring|OD|Land|U||0||||T: Add R to your mana pool. Barbarian Ring deals 1 damage to you.  Threshold - R, T, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.
30569|Bash to Bits|OD|Instant|U|3R|4||||Destroy target artifact.  Flashback 4RR (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29942|Battle of Wits|OD|Enchantment|R|3UU|5||||At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.
29861|Battle Strain|OD|Enchantment|U|1R|2||||Whenever a creature blocks, Battle Strain deals 1 damage to that creature's controller.
30747|Bearscape|OD|Enchantment|R|1GG|3||||1G, Exile two cards from your graveyard: Create a 2/2 green Bear creature token.
29880|Beast Attack|OD|Instant|U|2GGG|5||||Create a 4/4 green Beast creature token.  Flashback 2GGG (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29798|Beloved Chaplain|OD|Creature - Human Cleric|U|1W|2|1|1||Protection from creatures
29858|Blazing Salvo|OD|Instant|C|R|1||||Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to him or her.
29688|Blessed Orator|OD|Creature - Human Cleric|U|3W|4|1|4||Other creatures you control get +0/+1.
29950|Bloodcurdler|OD|Creature - Horror|R|1B|2|1|1||"Flying  At the beginning of your upkeep, put the top card of your library into your graveyard.  Threshold - As long as seven or more cards are in your graveyard, Bloodcurdler gets +1/+1 and has ""At the beginning of your end step, exile two cards from your graveyard."""
31763|Bog Wreckage|OD|Land|C||0||||Bog Wreckage enters the battlefield tapped.  T: Add B to your mana pool.  T, Sacrifice Bog Wreckage: Add one mana of any color to your mana pool.
26812|Bomb Squad|OD|Creature - Dwarf|R|3R|4|1|1||T: Put a fuse counter on target creature.  At the beginning of your upkeep, put a fuse counter on each creature with a fuse counter on it.  Whenever a creature has four or more fuse counters on it, remove all fuse counters from it and destroy it. That creature deals 4 damage to its controller.
29947|Braids, Cabal Minion|OD|Legendary Creature - Human Minion|R|2BB|4|2|2||At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land.
29846|Buried Alive|OD|Sorcery|U|2B|3||||Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.
31797|Burning Sands|OD|Enchantment|R|3RR|5||||Whenever a creature dies, that creature's controller sacrifices a land.
29730|Cabal Inquisitor|OD|Creature - Human Minion|C|1B|2|1|1||Threshold - 1B, T, Exile two cards from your graveyard: Target player discards a card. Activate this ability only any time you could cast a sorcery and only if seven or more cards are in your graveyard.
29943|Cabal Patriarch|OD|Legendary Creature - Human Wizard|R|3BBB|6|5|5||2B, Sacrifice a creature: Target creature gets -2/-2 until end of turn.  2B, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.
29904|Cabal Pit|OD|Land|U||0||||T: Add B to your mana pool. Cabal Pit deals 1 damage to you.  Threshold - B, T, Sacrifice Cabal Pit: Target creature gets -2/-2 until end of turn. Activate this ability only if seven or more cards are in your graveyard.
29959|Cabal Shrine|OD|Enchantment|R|1BB|3||||Whenever a player casts a spell, that player discards X cards, where X is the number of cards in all graveyards with the same name as that spell.
29786|Call of the Herd|OD|Sorcery|R|2G|3||||Create a 3/3 green Elephant creature token.  Flashback 3G (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29914|Cantivore|OD|Creature - Lhurgoyf|R|1WW|3|*|*||Vigilance  Cantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.
29727|Careful Study|OD|Sorcery|C|U|1||||Draw two cards, then discard two cards.
29783|Cartographer|OD|Creature - Human|C|2G|3|2|2||When Cartographer enters the battlefield, you may return target land card from your graveyard to your hand.
30005|Catalyst Stone|OD|Artifact|R|2|2||||Flashback costs you pay cost up to 2 less.  Flashback costs your opponents pay cost 2 more.
31837|Caustic Tar|OD|Enchantment - Aura|U|4BB|6||||"Enchant land  Enchanted land has ""T: Target player loses 3 life."""
30544|Cease-Fire|OD|Instant|C|2W|3||||Target player can't cast creature spells this turn.  Draw a card.
29905|Centaur Garden|OD|Land|U||0||||T: Add G to your mana pool. Centaur Garden deals 1 damage to you.  Threshold - G, T, Sacrifice Centaur Garden: Target creature gets +3/+3 until end of turn. Activate this ability only if seven or more cards are in your graveyard.
